14003,15728
14020,6568
14023,28879
14076,19796
14081,18048
14086,10938
14091,12408
14099,13525
14125,27901
14147,9542
14153,15392
14174,12124
14176,10771
14180,6132
14182,15328
14190,17916
14191,10002
14197,8848
14201,11278
14210,8316
14211,6047
14212,14925
14228,7692
14230,17069
14231,13657
14253,12249
14258,9159
14280,10022
14295,24674
14296,15240
14298,21844
14307,10404
14316,4342
14318,6905
14319,6165
14322,5509
14328,4246
14331,8201
14338,5675
14343,4011
14358,5140
14362,3170
14370,3605
14371,2916
14410,5358
14416,4849
14418,5718
14438,8525
14447,4355
14451,4728
14477,4400
14481,6218
14486,6959
14487,4436
14511,4679
14518,8933
14525,9158
14537,8547
14544,4314
14547,6533
14554,6924
14561,9442
14566,5492
14577,8901
14603,8853
14614,3443
14640,8380
14658,3039
14675,9439
14678,10716
14688,5573
14692,7328
14701,6753
14705,4085
14711,11584
14712,2367
14720,4183
14724,6197
14733,4819
14734,4704
14743,9143
14750,9556
14753,7612
14755,8132
14758,10630
14760,8129
14839,19912
14841,12328
14845,23690
14847,18989
14850,19596
14856,12519
14861,9824
14864,12410
14865,5140
14866,7988
14873,16482
14882,10600
14898,19242
14907,11260
14923,9614
14933,10942
14934,29105
14935,13470
14943,18573
14969,6676
14979,12994
14987,7367
15002,19097
15005,8501
15010,6962
15011,15627
15013,19320
15026,12672
15038,9652
15041,6194
15049,14929
15051,10884
15062,8287
15064,8909
15077,9490
15086,15932
15109,23156
15127,23794
15143,11492
15157,7549
15158,11204
15162,7225
15171,3771
15178,3635
15180,4124
15188,4622
15191,5716
15194,3921
15197,5866
15218,3214
15227,7993
15235,4952
15238,5287
15244,3038
15246,7746
15258,8736
15267,7227
15274,5313
15277,4585
15282,5468
15283,6549
15291,7162
15294,8222
15296,3863
15300,6937
15303,5784
15306,4861
15312,6986
15313,6716
15321,7012
15325,5791
15349,9916
15350,4490
15353,7028
15355,9060
15396,5386
15414,7690
15427,3089
15432,6369
15452,5641
15490,6753
15512,11588
15513,3874
15521,10208
15530,9614
15534,5220
15551,7178
15553,12709
15560,11274
15584,11455
15586,9020
15597,14504
15601,8468
15670,17607
15672,10712
15695,17701
15707,20099
15727,10050
15735,6569
15749,13358
15752,20191
15754,11178
15760,8460
15769,13353
15781,11118
15792,9888
15800,15674
15801,8413
15803,11316
15807,5449
15810,10465
15811,6518
15814,6486
15818,7390
15826,18636
15835,10708
15837,13995
15839,9791
15872,20305
15886,12429
15896,7574
15911,8286
15917,11986
15931,13785
15938,13727
15946,24819
15948,12405
15956,7604
15975,8122
15980,9799
15982,10670
15984,7629
15987,5697
15996,9600
16044,4090
16046,2380
16047,5416
16048,2745
16074,5766
16075,4754
16078,5139
16080,6455
16110,10509
16120,4951
16121,5219
16122,7111
16125,4859
16128,4653
16144,4532
16168,6570
16178,3855
16181,8744
16196,5210
16199,4367
16207,7142
16208,5134
16216,5247
16218,5444
16229,2856
16238,2954
16242,6802
16245,5913
16250,11450
16251,4808
16254,3534
16263,4054
16311,4557
16314,5084
16322,12171
16331,5408
16335,5331
16344,6465
16352,3489
16362,4230
16376,5080
16382,11055
16384,5927
16385,6335
16394,10062
16398,6994
16400,5591
16403,6339
16428,8575
16430,8472
20000,12709
20001,17912
20002,12556
20003,15850
20004,9899
20005,26199
20006,12679
20007,11636
20008,13826
20009,4214
20010,20731
20011,12165
20012,19617
20013,10105
20014,27165
20015,15219
20016,11433
20017,14265
20018,8950
20019,18038
20020,9735
20021,14284
20022,6395
20023,5355
20024,8122
20025,9540
20026,8604
